airbnbiser		ɛʁ.bi.ɛn.bi.ze	airbnbiser	VER	VER				0.05	0.05	0.05																									
ajd			ajd	ADV	ADV				0.05	0.05	0.05																									
askip		as.kip	askip	ADV	ADV				0.05	0.05	0.05																									
baroder		ba.ʁɔ.de	baroder	VER	VER				0.05	0.05	0.05																									
bg		be.ʒe	bg	NOM	NOM				0.05	0.05	0.05																									
bicraver		bi.kʁa.ve	bicraver	VER	VER				0.05	0.05	0.05																									
binger		bin.ʒe	binger	VER	VER				0.05	0.05	0.05																									
bjr		bɔ̃.ʒuʁ	bjr	INT	INT				0.05	0.05	0.05																									
blèche		blɛʃ	blèche	ADJ	ADJ				0.05	0.05	0.05																									
bourdiller		buʁ.di.je	bourdiller	VER	VER				0.05	0.05	0.05																									
boeuf		bœf	boeuf	NOM	NOM	m			0.05	0.05	0.05																									
cdlt		kɔʁ.djal.mɑ̃	cdlt	ADV	ADV				0.05	0.05	0.05																									
cdt			cdt	ADV	ADV				0.05	0.05	0.05																									
celleux		sɛ.lø	celleux	PRO	PRO				0.05	0.05	0.05																									
cellui		sɛ.lɥi	cellui	PRO	PRO				0.05	0.05	0.05																									
chanmé		ʃɑ̃.me	chanmé	ADJ	ADJ				0.05	0.05	0.05																									
charabier		ʃa.ʁa.bje	charabier	VER	VER				0.05	0.05	0.05																									
cherrer		ʃɛ.ʁe	cherrer	VER	VER				0.05	0.05	0.05																									
chouriner		ʃu.ʁi.ne	chouriner	VER	VER				0.05	0.05	0.05																									
cocheur		kɔ.ʃœʁ	cocheur	NOM	NOM	m			0.05	0.05	0.05																									
crush		kʁœʃ	crush	NOM	NOM	m			0.05	0.05	0.05																									
cézigue		se.ziɡ	cézigue	PRO	PRO				0.05	0.05	0.05																									
dead		dɛd	dead	VER	VER				0.05	0.05	0.05																									
deader		dɛ.de	deader	VER	VER				0.05	0.05	0.05																									
discrétos		dis.kʁe.tos	discrétos	ADV	ADV				0.05	0.05	0.05																									
divulgâcher		di.vyl.ɡa.ʃe	divulgâcher	VER	VER				0.05	0.05	0.05																									
docteuse		dɔk.tøz	docteuse	NOM	NOM	f			0.05	0.05	0.05																									
doss		dos	doss	NOM	NOM	m			0.05	0.05	0.05																									
dsl		de.zɔ.le	dsl	INT	INT				0.05	0.05	0.05																									
déter		de.tɛʁ	déter	ADJ	ADJ				0.05	0.05	0.05																									
dîn		din	dîn	NOM	NOM	m			0.05	0.05	0.05																									
elleux		e.lø	elleux	PRO	PRO				0.05	0.05	0.05																									
ellui		e.lɥi	ellui	PRO	PRO				0.05	0.05	0.05																									
escarper		ɛs.kaʁ.pe	escarper	VER	VER				0.05	0.05	0.05																									
feur		fœʁ	feur	INT	INT				0.05	0.05	0.05																									
flamer		fla.me	flamer	VER	VER				0.05	0.05	0.05																									
forgor		fɔʁ.ɡɔʁ	forgor	VER	VER				0.05	0.05	0.05																									
froeur		fʁœʁ	froeur	NOM	NOM				0.05	0.05	0.05																									
gamos		ɡa.mos	gamos	NOM	NOM	m			0.05	0.05	0.05																									
gaoulé		ɡa.u.le	gaoulé	NOM	NOM	m			0.05	0.05	0.05																									
gow		ɡo	gow	NOM	NOM	f			0.05	0.05	0.05																									
graf		ɡʁaf	graf	NOM	NOM	m			0.05	0.05	0.05																									
habin		a.bɛ̃	habin	NOM	NOM	m			0.05	0.05	0.05																									
hagar		a.ɡaʁ	hagar	VER	VER				0.05	0.05	0.05																									
haja			haja	NOM	NOM	f			0.05	0.05	0.05																									
hami			hami	ADJ	ADJ				0.05	0.05	0.05																									
hess		hɛs	hess	NOM	NOM	f			0.05	0.05	0.05																									
heureuxe		ø.ʁœks	heureuxe	ADJ	ADJ		s		0.05	0.05	0.05																									
héhé		e.e	héhé	INT	INT				0.05	0.05	0.05																									
iel		jɛl	iel	PRO	PRO		s		0.05	0.05	0.05																									
iels		jɛl	iels	PRO	PRO		p		0.05	0.05	0.05																									
igo		i.ɡo	igo	NOM	NOM	m			0.05	0.05	0.05																									
jouse			jouse	VER	VER		s		0.05	0.05	0.05																									
jousent			jousent	VER	VER		p		0.05	0.05	0.05																									
jouses			jouses	VER	VER		s		0.05	0.05	0.05																									
jtm		ʒ(ə) t‿ɛm	jtm	INT	INT				0.05	0.05	0.05																									
khalass		xa.las	khalass	INT	INT				0.05	0.05	0.05																									
khey		χɛj	khey	NOM	NOM	m			0.05	0.05	0.05																									
kho		xo	kho	NOM	NOM	m			0.05	0.05	0.05																									
laune		lon	laune	NOM	NOM	m			0.05	0.05	0.05																									
life		lif	life	NOM	NOM	f			0.05	0.05	0.05																									
lolement		lɔl.mɑ̃	lolement	ADV	ADV				0.05	0.05	0.05																									
légumiser		le.ɡy.mi.ze	légumiser	VER	VER				0.05	0.05	0.05																									
matrixé			matrixé	ADJ	ADJ				0.05	0.05	0.05																									
mdr		ɛm.de.ɛʁ	mdr	INT	INT				0.05	0.05	0.05																									
mif		mif	mif	NOM	NOM	f			0.05	0.05	0.05																									
mollarder			mollarder	VER	VER				0.05	0.05	0.05																									
moula		mu.la	moula	NOM	NOM	f			0.05	0.05	0.05																									
nétiquette		ne.ti.kɛt	nétiquette	NOM	NOM	f			0.05	0.05	0.05																									
noeud		nø	noeud	NOM	NOM	m			0.05	0.05	0.05																									
oe		wɛʔ	oe	INT	INT				0.05	0.05	0.05																									
ouaï		waj	ouaï	NOM	NOM	m			0.05	0.05	0.05																									
ouipe		wip̚	ouipe	INT	INT				0.05	0.05	0.05																									
paro		pa.ʁo	paro	ADJ	ADJ				0.05	0.05	0.05																									
patnè		pat.nɛ	patnè	NOM	NOM	m			0.05	0.05	0.05																									
piloche		pi.lɔʃ	piloche	NOM	NOM	f			0.05	0.05	0.05																									
piou		pju	piou	NOM	NOM	m			0.05	0.05	0.05																									
pk			pk	ADV	ADV				0.05	0.05	0.05																									
poto			poto	NOM	NOM	m			0.05	0.05	0.05																									
ptdr			ptdr	INT	INT				0.05	0.05	0.05																									
puffer		py.fe	puffer	VER	VER				0.05	0.05	0.05																									
pénave		pe.nav	pénave	VER	VER				0.05	0.05	0.05																									
pétou		pe.tu	pétou	NOM	NOM	m			0.05	0.05	0.05																									
