abaddirs			abaddir	NOM	NOM		p		0	0	0																									
abadies			abadie	NOM	NOM		p		0	0	0																									
abalourdissements			abalourdissement	NOM	NOM		p		0	0	0																									
abarticulations			abarticulation	NOM	NOM		p		0	0	0																									
abasourdissements			abasourdissement	NOM	NOM		p		0	0	0																									
abatages			abatage	NOM	NOM		p		0	0	0																									
abbadies			abbadie	NOM	NOM		p		0	0	0																									
abdominoscopies			abdominoscopie	NOM	NOM		p		0	0	0																									
abdominoscopique			abdominoscopique	ADJ	ADJ		s		0	0	0																									
abdominoscopiques			abdominoscopique	ADJ	ADJ		p		0	0	0																									
abdéritaines			abdéritaine	NOM	NOM		p		0	0	0																									
abdéritains			abdéritain	NOM	NOM		p		0	0	0																									
abecquages			abecquage	NOM	NOM		p		0	0	0																									
abecquements			abecquement	NOM	NOM		p		0	0	0																									
abecqueuses			abecqueuse	NOM	NOM		p		0	0	0																									
abeillons			abeillon	NOM	NOM		p		0	0	0																									
aberrographes			aberrographe	NOM	NOM		p		0	0	0																									
aberroscopes			aberroscope	NOM	NOM		p		0	0	0																									
abigaïls			abigaïl	NOM	NOM		p		0	0	0																									
abioses			abiose	NOM	NOM		p		0	0	0																									
abiétique			abiétique	ADJ	ADJ		s		0	0	0																									
abiétiques			abiétique	ADJ	ADJ		p		0	0	0																									
ablativo			ablativo	ADV	ADV				0	0	0																									
abluantes			abluante	NOM	NOM		p		0	0	0																									
abluants			abluant	NOM	NOM		p		0	0	0																									
ablépharies			ablépharie	NOM	NOM		p		0	0	0																									
ablépharoplastique			ablépharoplastique	ADJ	ADJ		s		0	0	0																									
ablépharoplastiques			ablépharoplastique	ADJ	ADJ		p		0	0	0																									
aboilages			aboilage	NOM	NOM		p		0	0	0																									
abomas			aboma	NOM	NOM		p		0	0	0																									
abonnable			abonnable	ADJ	ADJ		s		0	0	0																									
abonnables			abonnable	ADJ	ADJ		p		0	0	0																									
abonnages			abonnage	NOM	NOM		p		0	0	0																									
abonnataire			abonnataire	NOM	NOM		s		0	0	0																									
abonnataires			abonnataire	NOM	NOM		p		0	0	0																									
abonnis			abonni	ADJ	ADJ	m	p		0	0	0																									
abonnies			abonni	ADJ	ADJ	f	p		0	0	0																									
aboral			aboral	ADJ	ADJ		s		0	0	0																									
aboraux			aboral	ADJ	ADJ	m	p		0	0	0																									
aborale			aboral	ADJ	ADJ	f	s		0	0	0																									
aborales			aboral	ADJ	ADJ	f	p		0	0	0																									
abornages			abornage	NOM	NOM		p		0	0	0																									
abortions			abortion	NOM	NOM		p		0	0	0																									
aboucheurs			aboucheur	NOM	NOM		p		0	0	0																									
abougri			abougri	ADJ	ADJ		s		0	0	0																									
abougrissements			abougrissement	NOM	NOM		p		0	0	0																									
aboutages			aboutage	NOM	NOM		p		0	0	0																									
abracadabrantismes			abracadabrantisme	NOM	NOM		p		0	0	0																									
abramides			abramide	NOM	NOM		p		0	0	0																									
abranides			abranide	NOM	NOM		p		0	0	0																									
abrasements			abrasement	NOM	NOM		p		0	0	0																									
abreuveurs			abreuveur	NOM	NOM		p		0	0	0																									
abricotins			abricotin	NOM	NOM		p		0	0	0																									
abrifous			abrifou	NOM	NOM		p		0	0	0																									
abritante			abritant	ADJ	ADJ	f	s		0	0	0																									
abritantes			abritant	ADJ	ADJ	f	p		0	0	0																									
abritements			abritement	NOM	NOM		p		0	0	0																									
abrotanums			abrotanum	NOM	NOM		p		0	0	0																									
abrotonites			abrotonite	NOM	NOM		p		0	0	0																									
abrotonoïde			abrotonoïde	ADJ	ADJ		s		0	0	0																									
abrotonoïdes			abrotonoïde	ADJ	ADJ		p		0	0	0																									
abroutissements			abroutissement	NOM	NOM		p		0	0	0																									
abruptions			abruption	NOM	NOM		p		0	0	0																									
abruptipenné			abruptipenné	ADJ	ADJ		s		0	0	0																									
abruptipennés			abruptipenné	ADJ	ADJ	m	p		0	0	0																									
abruptipennée			abruptipenné	ADJ	ADJ	f	s		0	0	0																									
abruptipennées			abruptipenné	ADJ	ADJ	f	p		0	0	0																									
abrutisseurs			abrutisseur	NOM	NOM		p		0	0	0																									
abrutisseuses			abrutisseur	ADJ	ADJ	f	p		0	0	0																									
abrutissoirs			abrutissoir	NOM	NOM		p		0	0	0																									
abrèvements			abrèvement	NOM	NOM		p		0	0	0																									
abréacteurs			abréacteur	NOM	NOM		p		0	0	0																									
abrégeable			abrégeable	ADJ	ADJ		s		0	0	0																									
abrégeables			abrégeable	ADJ	ADJ		p		0	0	0																									
abréviatrices			abréviateur	ADJ	ADJ	f	p		0	0	0																									
abréviatures			abréviature	NOM	NOM		p		0	0	0																									
abrévié			abrévié	ADJ	ADJ		s		0	0	0																									
abréviés			abrévié	ADJ	ADJ	m	p		0	0	0																									
abréviée			abrévié	ADJ	ADJ	f	s		0	0	0																									
abréviées			abrévié	ADJ	ADJ	f	p		0	0	0																									
abscisions			abscision	NOM	NOM		p		0	0	0																									
absconses			abscons	ADJ	ADJ	f	p		0	0	0																									
absentements			absentement	NOM	NOM		p		0	0	0																									
absidioles			absidiole	NOM	NOM		p		0	0	0																									
absinthages			absinthage	NOM	NOM		p		0	0	0																									
absinthates			absinthate	NOM	NOM		p		0	0	0																									
absintheuses			absintheuse	NOM	NOM		p		0	0	0																									
absintheurs			absintheur	NOM	NOM		p		0	0	0																									
absinthines			absinthine	NOM	NOM		p		0	0	0																									
absinthols			absinthol	NOM	NOM		p		0	0	0																									
absoluités			absoluité	NOM	NOM		p		0	0	0																									
absolutive			absolutif	ADJ	ADJ	f	s		0	0	0																									
